sku,product_type,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_lead_time,order_quantity,shipping_time,shipping_carrier,shipping_cost,supplier_name,location,supplier_lead_time,production_volume,manufacturing_lead_time,manufacturing_cost,inspection_result,defect_rate,transportation_mode,route,transportation_cost,total_operational_cost,net_profit,total_lead_time,daily_demand,safety_stock,rop,stock_status
SKU11,skincare,90.63545998228868,95,960,87010.04158299713,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,158.8393396203876,86851.20224337674,39,2.6301369863013699,7,110,Understock (Reorder)
SKU12,haircare,71.21338907536008,41,336,23927.69872932099,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,436.61534929737917,23491.08338002361,6,0.92054794520547945205,1,7,Overstock
SKU13,skincare,16.160393317379977,5,249,4023.9379360276143,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,654.6073383322502,3369.3305976953643,33,0.68219178082191780822,2,25,Overstock
SKU14,skincare,99.1713286386242,26,562,55734.286694906805,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,937.066496780202,54797.220198126604,39,1.5397260273972603,4,65,Understock (Reorder)
SKU15,skincare,36.98924492862691,94,469,17347.95587152602,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,227.40512147637492,17120.550750049646,21,1.2849315068493151,3,30,Understock (Reorder)
SKU16,skincare,7.547172109791272,74,280,2113.2081907415563,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,946.8234468547959,1166.3847438867606,24,0.76712328767123287671,2,20,Critical / Out of Stock Risk
SKU17,cosmetics,81.46253436923702,82,126,10264.279330523865,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,722.199490118998,9542.079840404867,23,0.34520547945205479452,1,9,Overstock
SKU18,haircare,36.443627770460935,23,620,22595.04921768578,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,624.9274642896064,21970.121753396175,35,1.6986301369863014,5,64,Understock (Reorder)
SKU19,skincare,51.12387008796474,100,187,9560.163706449406,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,564.4235875617355,8995.74011888767,36,0.51232876712328767123,2,20,Normal
SKU20,skincare,96.34107243996338,22,320,30829.143180788284,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,568.4358095756213,30260.707371212662,35,0.87671232876712328767,3,33,Understock (Reorder)
SKU21,cosmetics,84.89386898495083,60,601,51021.21525995545,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,591.1345274435372,50430.08073251191,23,1.6465753424657534,4,42,Normal
SKU22,haircare,27.67978088650196,55,884,24468.926303667733,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,265.26048436084744,24203.665819306887,50,2.4219178082191781,8,129,Understock (Reorder)
SKU23,cosmetics,4.324341185864164,30,391,1690.817403672888,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,297.8642609562621,1392.953142716626,40,1.0712328767123288,3,46,Normal
SKU24,haircare,4.156308359311108,32,209,868.6684470960216,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,808.8484239951474,59.82002310087421,31,0.57260273972602739726,2,20,Understock (Reorder)
SKU25,haircare,39.62934398509263,73,142,5627.3668458831535,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,539.0474025389061,5088.319443344248,42,0.38904109589041095890,2,18,Overstock
SKU26,haircare,97.44694661789282,9,353,34398.77215611617,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,640.3466948366375,33758.42546127953,30,0.96712328767123287671,3,32,Normal
SKU27,cosmetics,92.55736081240202,42,352,32580.191005965513,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,780.3941781787239,31799.796827786788,29,0.96438356164383561644,3,31,Normal
SKU28,cosmetics,2.397274705597141,12,394,944.5262340052736,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,192.76454983058787,751.7616841746858,20,1.0794520547945205,2,24,Normal
SKU29,cosmetics,63.44755918520733,3,253,16052.232473857455,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,812.3292246721709,15239.903249185285,23,0.69315068493150684932,2,18,Normal
SKU30,haircare,8.022859210526393,10,327,2623.4749618421306,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,940.6704099625883,1682.8045518795423,57,0.89589041095890410959,3,54,Normal
SKU31,skincare,50.8473930517187,28,168,8542.362032688741,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,672.3100132450062,7870.052019443735,32,0.46027397260273972603,2,16,Understock (Reorder)
SKU32,skincare,79.20993601565672,43,781,61862.9600282279,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,797.4654815698659,61065.49454665803,37,2.1397260273972603,6,85,Normal
SKU33,cosmetics,64.7954350001556,63,616,39913.98796009585,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,399.9669935362038,39514.02096655965,24,1.6876712328767123,4,44,Critical / Out of Stock Risk
SKU34,skincare,37.46759232984246,96,602,22555.490582565162,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,522.1317608193749,22033.358821745787,14,1.6493150684931507,3,26,Critical / Out of Stock Risk
SKU35,cosmetics,84.95778681635043,11,449,38146.04628054135,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,616.713448265427,37529.33283227592,5,1.2301369863013699,2,8,Overstock
SKU36,skincare,9.813002578754052,34,963,9449.921483340151,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,451.44828975250175,8998.47319358765,45,2.6383561643835616,8,127,Understock (Reorder)
SKU37,skincare,23.39984475261435,5,963,22534.050496767617,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,219.8089007822602,22314.241595985357,39,2.6383561643835616,7,110,Understock (Reorder)
SKU38,cosmetics,52.0759306827078,75,705,36713.531131309,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,354.83949503138365,36358.69163627762,22,1.9315068493150685,4,47,Normal
SKU39,skincare,19.127477265823256,26,176,3366.435998784893,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,668.2413057596452,2698.194693025248,36,0.48219178082191780822,2,19,Overstock
SKU40,skincare,80.54142417094033,97,933,75145.14875148733,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,625.2177262246458,74519.93102526269,19,2.5561643835616438,5,54,Normal
SKU41,skincare,99.11329161531717,35,556,55106.99013811634,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,376.62969942384893,54730.36043869249,25,1.5232876712328767,4,42,Normal
SKU42,skincare,46.52916761451677,98,155,7212.0209802500995,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,739.6061894684153,6472.414790781684,33,0.42465753424657534247,2,16,Normal
SKU43,haircare,11.74327177630924,6,598,7022.476522232925,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,746.0155069850615,6276.4610152478635,24,1.6383561643835616,4,43,Understock (Reorder)
SKU44,cosmetics,51.35579091311039,34,919,47195.971849148445,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,640.5848258974921,46555.38702325095,25,2.5178082191780822,6,69,Understock (Reorder)
SKU45,haircare,33.78413803306551,1,24,810.8193127935722,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,566.8333964771775,243.98591631639465,50,0.06575342465753424658,1,4,Overstock
SKU46,haircare,27.0822071998889,75,859,23263.615984704564,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,461.82924616009996,22801.786738544462,41,2.3534246575342466,7,103,Understock (Reorder)
SKU47,skincare,95.71213588093607,93,910,87098.04365165182,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,610.2940987178304,86487.749552934,30,2.4931506849315068,6,81,Critical / Out of Stock Risk
SKU48,haircare,76.03554442689172,28,29,2205.03078837986,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,798.8741106933899,1406.1566776864702,27,0.07945205479452054795,1,3,Overstock
SKU49,cosmetics,78.89791320564004,19,99,7810.893407358364,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,353.54360499685805,7457.349802361506,56,0.27123287671232876712,1,17,Overstock
SKU50,cosmetics,14.203484264803022,91,633,8990.805539620313,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,547.675269131551,8443.130270488762,41,1.7342465753424658,5,76,Understock (Reorder)
SKU51,haircare,26.70076097246173,61,154,4111.917189759107,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,713.9556464819635,3397.9615432771434,46,0.42191780821917808219,2,21,Overstock
SKU52,skincare,98.03182965646508,1,820,80386.10031830137,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,620.6964001667495,79765.40391813462,37,2.2465753424657534,6,89,Understock (Reorder)
SKU53,skincare,30.34147071121421,93,242,7342.6359121138385,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,835.0953862260448,6507.540525887794,18,0.66301369863013698630,2,14,Overstock
SKU54,haircare,31.146243160240854,11,622,19372.963245669813,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,848.5611234292977,18524.402122240514,55,1.7041095890410959,6,99,Understock (Reorder)
SKU55,haircare,79.85505834078943,16,701,55978.39589689339,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,358.35083816412623,55620.04505872926,32,1.9205479452054795,5,66,Normal
SKU56,skincare,20.986386037043378,90,93,1951.7339014450342,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,846.8215229929261,1104.912378452108,52,0.25479452054794520548,1,15,Normal
SKU57,haircare,49.26320535073416,65,227,11182.747614616654,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,559.131420124988,10623.616194491666,46,0.62191780821917808219,2,31,Understock (Reorder)
SKU58,skincare,59.84156137728931,81,896,53618.038994051225,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,180.35018889076827,53437.688805160455,25,2.4547945205479452,6,67,Understock (Reorder)
SKU59,cosmetics,63.828398347710966,30,484,30892.94480029211,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,321.7687584504805,30571.176041841627,15,1.3260273972602740,3,23,Overstock
SKU60,skincare,17.028027920188702,16,380,6470.650609671707,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,521.7635229483744,5948.887086723333,53,1.0410958904109589,4,59,Understock (Reorder)
SKU61,haircare,52.02874990329492,23,117,6087.363738685506,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,252.09926263482026,5835.2644760506855,26,0.32054794520547945205,1,10,Overstock
SKU62,cosmetics,72.79635395558736,89,270,19655.015568008588,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,349.186859873057,19305.82870813553,27,0.73972602739726027397,2,22,Overstock
SKU63,skincare,13.017376785287857,55,246,3202.274689180813,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,709.8191153700352,2492.4555738107774,28,0.67397260273972602740,2,21,Overstock
SKU64,skincare,89.63409560813533,11,134,12010.968811490133,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,784.5034805752294,11226.465330914903,23,0.36712328767123287671,1,10,Overstock
SKU65,skincare,33.69771720664313,72,457,15399.85676343591,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,564.0368677626788,14835.81989567323,37,1.2520547945205479,4,50,Normal
SKU66,skincare,26.03486977396209,52,704,18328.54832086931,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,438.1439280455092,17890.404392823802,52,1.9287671232876712,6,107,Understock (Reorder)
SKU67,skincare,87.75543235400107,16,513,45018.53679760255,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,185.47748907647576,44833.05930852608,21,1.4054794520547945,3,33,Understock (Reorder)
SKU68,haircare,37.93181238279032,29,163,6182.885418394822,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,398.01413654645046,5784.871281848372,20,0.44657534246575342466,1,10,Critical / Out of Stock Risk
SKU69,skincare,54.86552851706979,62,511,28036.285072222665,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,294.99625881144414,27741.28881341122,16,1.4000000000000000,3,25,Overstock
SKU70,haircare,47.914541824058766,90,32,1533.2653383698805,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,201.02939832707298,1332.2359400428074,38,0.08767123287671232877,1,4,Normal
SKU71,cosmetics,6.381533162747966,14,637,4065.0366246704543,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,445.05693568376796,3619.9796889866866,12,1.7452054794520548,3,24,Overstock
SKU72,cosmetics,90.20442752052809,88,478,43117.71635481242,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,740.3046769011171,42377.4116779113,32,1.3095890410958904,4,45,Normal
SKU73,cosmetics,83.8510176813046,41,375,31444.131630489224,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,914.855975764191,30529.275654725032,17,1.0273972602739726,2,20,Understock (Reorder)
SKU74,haircare,3.170011413566155,64,904,2865.690317863804,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,427.37116358970866,2438.319154274095,10,2.4767123287671233,4,28,Normal
SKU75,skincare,92.99688423397066,29,106,9857.66972880089,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,923.6683284187035,8934.001400382187,36,0.29041095890410958904,1,12,Normal
SKU76,haircare,69.10879954743032,23,241,16655.220690930706,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,1068.7915862656318,15586.429104665074,49,0.66027397260273972603,2,35,Normal
SKU77,haircare,57.44974295897148,14,359,20624.45772227076,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,902.3014902944597,19722.1562319763,31,0.98356164383561643836,3,33,Overstock
SKU78,haircare,6.306883176111915,50,946,5966.311484601872,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,403.1857679225875,5563.125716679284,46,2.5917808219178082,8,127,Critical / Out of Stock Risk
SKU79,haircare,57.05703122110322,56,198,11297.292181778439,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,415.87144762337,10881.420734155068,17,0.54246575342465753425,1,11,Overstock
SKU80,skincare,91.12831835044432,75,872,79463.89360158745,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,867.5742631975835,78596.31933838986,13,2.3890410958904110,4,35,Normal
SKU81,haircare,72.81920693031822,9,774,56362.0661640663,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,300.6342063902145,56061.43195767609,29,2.1205479452054795,5,67,Understock (Reorder)
SKU82,skincare,17.034930739467917,13,336,5723.73672846122,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,599.1520159365258,5124.584712524695,32,0.92054794520547945205,3,32,Normal
SKU83,haircare,68.91124621160633,82,663,45688.15623829499,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,785.6514516046233,44902.50478669037,25,1.8164383561643836,4,50,Normal
SKU84,haircare,89.10436729210225,99,618,55066.49898651919,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,507.6472581018197,54558.85172841737,46,1.6931506849315068,5,83,Understock (Reorder)
SKU85,cosmetics,76.96299441519388,83,25,1924.074860379847,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,Route B,842.6868300046415,920.8653442281854,1003.2095161516615,6,0.06849315068493150685,1,1,Overstock
SKU86,skincare,19.99817694040422,18,223,4459.593457710142,Unknown,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,Route A,264.2548898358665,340.31816514121476,4119.2752925689265,22,0.61095890410958904110,2,15,Normal
SKU87,haircare,80.41403665035574,24,79,6352.708895378103,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,914.632018356616,5438.076877021487,44,0.21643835616438356164,1,11,Understock (Reorder)
SKU88,cosmetics,75.27040697572501,58,737,55474.28994110933,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,175.90242015067722,55298.387520958655,32,2.0191780821917808,5,70,Understock (Reorder)
SKU89,cosmetics,97.76008558193868,10,134,13099.851467979783,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,574.0336635559822,12525.817804423801,34,0.36712328767123287671,1,14,Overstock
SKU90,skincare,13.881913501359142,56,320,4442.2123204349255,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,Route B,990.0784725058112,1083.4288665497218,3358.783453885204,16,0.87671232876712328767,2,16,Overstock
